loops.thisTrialN,loops.stepSize,loops.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,loops.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
45,0.5,1.0,77.09430029988289,77.59407970006578,77.5778751000762,77.5778751000762,77.89290699991398,right,1.0,0,0,0.7870655998121947,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
46,0.5,1.5,78.39403550000861,78.89456749986857,78.87768670008518,78.87768670008518,79.17726329993457,left,-1.5,1,1,0.7333726000506431,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
47,0.5,1.5,79.62653720006347,80.12691099988297,80.12691099988297,80.12691099988297,80.42739790002815,right,1.5,1,1,0.5870337998494506,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
48,0.5,1.5,80.74410589993931,81.24428560002707,81.22692200005986,81.22692200005986,81.52730499999598,left,-1.5,1,1,1.9800321999937296,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
49,0.5,1.0,83.2269224000629,83.72784549999051,83.72784549999051,83.72784549999051,84.0272295998875,right,1.0,1,1,0.7659610998816788,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
50,0.5,1.0,84.51045519998297,85.0101554999128,85.0101554999128,85.0101554999128,85.31054360000417,right,1.0,1,1,0.6515297999139875,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
51,0.5,1.0,85.692979299929,86.19242189987563,86.19242189987563,86.19242189987563,86.49369099992327,right,1.0,1,1,0.7361239001620561,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
52,0.5,0.5,86.95934629999101,87.46044449997135,87.46044449997135,87.46044449997135,87.76027019997127,left,-0.5,1,1,0.6047957001719624,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
53,0.5,0.5,88.09332069987431,88.59313139994629,88.57788829994388,88.57788829994388,88.8935996000655,right,0.5,1,1,0.7152982999105006,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
54,0.5,0.5,89.30951080005616,89.81021220004186,89.81021220004186,89.81021220004186,90.11082629999146,right,0.5,1,1,0.9376148998271674,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
55,0.5,0.0,90.77672920003533,91.27792829996906,91.27792829996906,91.27792829996906,91.59350199997425,right,0.0,0,0,0.7305610999464989,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
56,0.5,0.5,92.02647819998674,92.5266219000332,92.5266219000332,92.5266219000332,92.82670379988849,left,-0.5,0,0,0.5477601001039147,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
57,0.5,1.0,93.09338969993405,93.59332089987583,93.57636890001595,93.57636890001595,93.87681799987331,right,1.0,0,0,0.714327400084585,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
58,0.5,1.5,94.30920440005139,94.8096932999324,94.8096932999324,94.8096932999324,95.10913349990733,left,-1.5,1,1,0.758311599958688,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
