60.2620 	EXP 	grating: autoDraw = True
60.2782 	EXP 	fixation: autoDraw = False
60.5621 	EXP 	grating: autoDraw = False
61.0639 	DATA 	Keypress: left
61.0788 	EXP 	fixation: autoDraw = False
61.0788 	EXP 	grating: autoDraw = False
61.0788 	EXP 	grating: ori = -0.5
61.0788 	EXP 	fixation: autoDraw = True
61.5616 	EXP 	grating: autoDraw = True
61.5789 	EXP 	fixation: autoDraw = False
61.8618 	EXP 	grating: autoDraw = False
62.3635 	DATA 	Keypress: left
62.3782 	EXP 	fixation: autoDraw = False
62.3782 	EXP 	grating: autoDraw = False
62.3782 	EXP 	grating: ori = 0.5
62.3782 	EXP 	fixation: autoDraw = True
62.8785 	EXP 	fixation: autoDraw = False
62.8785 	EXP 	grating: autoDraw = True
63.1793 	EXP 	grating: autoDraw = False
63.7310 	DATA 	Keypress: left
63.7444 	EXP 	fixation: autoDraw = False
63.7444 	EXP 	grating: autoDraw = False
63.7444 	EXP 	grating: ori = 1.0
63.7444 	EXP 	fixation: autoDraw = True
64.2456 	EXP 	fixation: autoDraw = False
64.2456 	EXP 	grating: autoDraw = True
64.5450 	EXP 	grating: autoDraw = False
64.8790 	DATA 	Keypress: right
64.8943 	EXP 	fixation: autoDraw = False
64.8943 	EXP 	grating: autoDraw = False
64.8943 	EXP 	grating: ori = -1.0
64.8943 	EXP 	fixation: autoDraw = True
65.3784 	EXP 	grating: autoDraw = True
65.3952 	EXP 	fixation: autoDraw = False
65.6798 	EXP 	grating: autoDraw = False
66.0478 	DATA 	Keypress: left
66.0618 	EXP 	fixation: autoDraw = False
66.0618 	EXP 	grating: autoDraw = False
66.0618 	EXP 	grating: ori = -1.0
66.0618 	EXP 	fixation: autoDraw = True
66.5444 	EXP 	grating: autoDraw = True
66.5616 	EXP 	fixation: autoDraw = False
66.8449 	EXP 	grating: autoDraw = False
67.1809 	DATA 	Keypress: right
67.1943 	EXP 	fixation: autoDraw = False
67.1943 	EXP 	grating: autoDraw = False
67.1943 	EXP 	grating: ori = 1.5
67.1943 	EXP 	fixation: autoDraw = True
67.6954 	EXP 	fixation: autoDraw = False
67.6954 	EXP 	grating: autoDraw = True
67.9949 	EXP 	grating: autoDraw = False
68.4809 	DATA 	Keypress: right
68.4950 	EXP 	fixation: autoDraw = False
68.4950 	EXP 	grating: autoDraw = False
68.4950 	EXP 	grating: ori = 1.5
68.4950 	EXP 	fixation: autoDraw = True
68.9777 	EXP 	grating: autoDraw = True
68.9949 	EXP 	fixation: autoDraw = False
69.2783 	EXP 	grating: autoDraw = False
69.7307 	DATA 	Keypress: right
69.7449 	EXP 	fixation: autoDraw = False
69.7449 	EXP 	grating: autoDraw = False
69.7449 	EXP 	grating: ori = 1.5
69.7449 	EXP 	fixation: autoDraw = True
70.2452 	EXP 	fixation: autoDraw = False
70.2452 	EXP 	grating: autoDraw = True
70.5445 	EXP 	grating: autoDraw = False
70.9481 	DATA 	Keypress: right
70.9600 	EXP 	fixation: autoDraw = False
70.9600 	EXP 	grating: autoDraw = False
70.9600 	EXP 	grating: ori = -1.0
70.9600 	EXP 	fixation: autoDraw = True
71.4610 	EXP 	fixation: autoDraw = False
71.4610 	EXP 	grating: autoDraw = True
71.7612 	EXP 	grating: autoDraw = False
72.1806 	DATA 	Keypress: left
72.1941 	EXP 	fixation: autoDraw = False
72.1941 	EXP 	grating: autoDraw = False
72.1941 	EXP 	grating: ori = 1.0
72.1941 	EXP 	fixation: autoDraw = True
72.6781 	EXP 	grating: autoDraw = True
72.6945 	EXP 	fixation: autoDraw = False
72.9777 	EXP 	grating: autoDraw = False
73.3137 	DATA 	Keypress: right
73.3274 	EXP 	fixation: autoDraw = False
73.3274 	EXP 	grating: autoDraw = False
73.3274 	EXP 	grating: ori = 1.0
73.3274 	EXP 	fixation: autoDraw = True
73.8277 	EXP 	fixation: autoDraw = False
73.8277 	EXP 	grating: autoDraw = True
74.1284 	EXP 	grating: autoDraw = False
74.4477 	DATA 	Keypress: right
74.4613 	EXP 	fixation: autoDraw = False
74.4613 	EXP 	grating: autoDraw = False
74.4613 	EXP 	grating: ori = 0.5
74.4613 	EXP 	fixation: autoDraw = True
74.9441 	EXP 	grating: autoDraw = True
74.9613 	EXP 	fixation: autoDraw = False
75.2448 	EXP 	grating: autoDraw = False
75.9980 	DATA 	Keypress: left
76.0104 	EXP 	fixation: autoDraw = False
76.0104 	EXP 	grating: autoDraw = False
76.0104 	EXP 	grating: ori = 1.0
76.0104 	EXP 	fixation: autoDraw = True
76.5107 	EXP 	fixation: autoDraw = False
76.5107 	EXP 	grating: autoDraw = True
76.8110 	EXP 	grating: autoDraw = False
77.0803 	DATA 	Keypress: right
77.0943 	EXP 	fixation: autoDraw = False
77.0943 	EXP 	grating: autoDraw = False
77.0943 	EXP 	grating: ori = 1.0
77.0943 	EXP 	fixation: autoDraw = True
77.5779 	EXP 	grating: autoDraw = True
77.5941 	EXP 	fixation: autoDraw = False
77.8929 	EXP 	grating: autoDraw = False
78.3800 	DATA 	Keypress: left
78.3940 	EXP 	fixation: autoDraw = False
78.3940 	EXP 	grating: autoDraw = False
78.3940 	EXP 	grating: ori = -1.5
78.3940 	EXP 	fixation: autoDraw = True
78.8777 	EXP 	grating: autoDraw = True
78.8946 	EXP 	fixation: autoDraw = False
79.1773 	EXP 	grating: autoDraw = False
79.6146 	DATA 	Keypress: left
79.6265 	EXP 	fixation: autoDraw = False
79.6265 	EXP 	grating: autoDraw = False
79.6265 	EXP 	grating: ori = 1.5
79.6265 	EXP 	fixation: autoDraw = True
80.1269 	EXP 	fixation: autoDraw = False
80.1269 	EXP 	grating: autoDraw = True
80.4274 	EXP 	grating: autoDraw = False
80.7302 	DATA 	Keypress: right
80.7441 	EXP 	fixation: autoDraw = False
80.7441 	EXP 	grating: autoDraw = False
80.7441 	EXP 	grating: ori = -1.5
